福建电信-组播1,#genre#
BESTV,http://27.152.133.130:34567/rtp/239.61.5.14:1025
BESTV,http://27.152.133.130:34567/rtp/239.61.5.13:1025
BESTV,http://27.152.133.130:34567/rtp/239.61.5.12:1025
BESTV,http://27.152.133.130:34567/rtp/239.61.5.11:1025
BESTV,http://27.152.133.130:34567/rtp/239.61.5.10:1025
BESTV,http://27.152.133.130:34567/rtp/239.61.5.9:1025$1080p

福建电信-组播2,#genre#

福建电信-组播3,#genre#

